sep=;
Vertices;Edges;Delta;CPUs;Seq_Time;Par_Time;Speedup;Efficiency
1200000;1;5,0;4;2,9964;3,5874;0,8353;0,2088
1200000;1;5,0;8;3,1241;3,6704;0,8512;0,1064
1200000;1;5,0;16;3,1881;4,3497;0,7329;0,0458
1200000;1;5,0;32;3,4186;5,1093;0,6691;0,0209
1200000;1;10,0;2;2,8078;3,2344;0,8681;0,4341
1200000;1;10,0;4;2,8917;3,435;0,8418;0,2105
1200000;1;10,0;8;3,1227;3,7054;0,8427;0,1053
1200000;1;10,0;16;3,3389;4,123;0,8098;0,0506
1200000;1;10,0;32;3,4483;5,0097;0,6883;0,0215
1200000;5;0,5;2;13,7466;12,9734;1,0596;0,5298
1200000;5;0,5;4;13,9554;11,6556;1,1973;0,2993
1200000;5;0,5;8;14,2861;11,416;1,2514;0,1564
1200000;5;0,5;16;14,2713;12,2546;1,1646;0,0728
1200000;5;0,5;32;14,8861;13,9219;1,0693;0,0334
1200000;5;1,0;2;14,3309;13,345;1,0739;0,5369
1200000;5;1,0;4;14,3641;11,3119;1,2698;0,3175
1200000;5;1,0;8;14,7411;10,5821;1,393;0,1741
1200000;5;1,0;16;14,9787;11,4702;1,3059;0,0816
1200000;5;1,0;32;14,9461;12,9191;1,1569;0,0362
1200000;5;2,0;2;15,2472;13,1421;1,1602;0,5801
1200000;5;2,0;4;15,1137;11,356;1,3309;0,3327
1200000;5;2,0;8;15,2563;10,603;1,4389;0,1799
1200000;5;2,0;16;15,5746;10,7895;1,4435;0,0902
1200000;5;2,0;32;15,4656;12,3324;1,2541;0,0392
1200000;5;5,0;2;15,6168;13,3912;1,1662;0,5831
1200000;5;5,0;4;15,8511;11,1702;1,4191;0,3548
1200000;5;5,0;8;15,764;10,4917;1,5025;0,1878
1200000;5;5,0;16;15,8421;10,5181;1,5062;0,0941
1200000;5;5,0;32;16,1533;11,7104;1,3794;0,0431
1200000;5;10,0;2;15,7769;13,3494;1,1818;0,5909
1200000;5;10,0;4;15,7562;11,0295;1,4286;0,3571
1200000;5;10,0;8;16,0011;10,4269;1,5346;0,1918
1200000;5;10,0;16;16,0979;10,496;1,5337;0,0959
1200000;5;10,0;32;16,3531;11,4791;1,4246;0,0445
1200000;10;0,5;2;24,5252;21,3981;1,1461;0,5731
1200000;10;0,5;4;24,7163;17,8348;1,3858;0,3465
1200000;10;0,5;8;24,8942;16,9977;1,4646;0,1831
1200000;10;0,5;16;24,9012;17,5481;1,419;0,0887
1200000;10;0,5;32;25,5378;19,2229;1,3285;0,0415
1200000;10;1,0;2;25,562;22,0021;1,1618;0,5809
1200000;10;1,0;4;26,0306;17,8802;1,4558;0,364
1200000;10;1,0;8;26,0428;16,6232;1,5667;0,1958
1200000;10;1,0;16;26,4898;16,7656;1,58;0,0988
1200000;10;1,0;32;26,5334;18,2583;1,4532;0,0454
1200000;10;2,0;2;26,451;22,061;1,199;0,5995
1200000;10;2,0;4;26,9059;18,0145;1,4936;0,3734
1200000;10;2,0;8;27,0401;16,3581;1,653;0,2066
1200000;10;2,0;16;26,9477;16,044;1,6796;0,105
1200000;10;2,0;32;27,6226;17,0419;1,6209;0,0507
1200000;10;5,0;2;26,6693;22,1434;1,2044;0,6022
1200000;10;5,0;4;26,9469;18,4537;1,4602;0,3651
1200000;10;5,0;8;27,0718;16,4657;1,6441;0,2055
1200000;10;5,0;16;27,1491;15,8677;1,711;0,1069
1200000;10;5,0;32;27,5553;16,1911;1,7019;0,0532
1200000;10;10,0;2;27,0079;22,472;1,2018;0,6009
1200000;10;10,0;4;26,7316;18,043;1,4815;0,3704
1200000;10;10,0;8;26,9546;16,2405;1,6597;0,2075
1200000;10;10,0;16;27,3375;15,598;1,7526;0,1095
1200000;10;10,0;32;27,0074;16,1882;1,6683;0,0521
1200000;25;0,5;2;57,021;47,0019;1,2132;0,6066
1200000;25;0,5;4;57,2922;37,8638;1,5131;0,3783
1200000;25;0,5;8;57,6111;33,3369;1,7281;0,216
1200000;25;0,5;16;57,5479;32,4173;1,7752;0,111
1200000;25;0,5;32;57,9987;33,2726;1,7431;0,0545
1200000;25;1,0;2;58,4165;47,3363;1,2341;0,617
1200000;25;1,0;4;59,0533;38,1958;1,5461;0,3865
1200000;25;1,0;8;59,423;33,0437;1,7983;0,2248
1200000;25;1,0;16;59,0165;31,6168;1,8666;0,1167
1200000;25;1,0;32;59,4274;32,1705;1,8473;0,0577
1200000;25;2,0;2;59,0126;47,9681;1,2302;0,6151
1200000;25;2,0;4;59,4802;37,9167;1,5687;0,3922
1200000;25;2,0;8;59,9969;32,2965;1,8577;0,2322
1200000;25;2,0;16;59,7136;30,4672;1,9599;0,1225
1200000;25;2,0;32;60,1131;31,7523;1,8932;0,0592
1200000;25;5,0;2;59,2907;47,652;1,2442;0,6221
1200000;25;5,0;4;59,4848;37,5236;1,5853;0,3963
1200000;25;5,0;8;59,1862;32,1905;1,8386;0,2298
1200000;25;5,0;16;59,404;30,6579;1,9376;0,1211
1200000;25;5,0;32;59,3877;30,3872;1,9544;0,0611
1200000;25;10,0;2;59,2727;48,741;1,2161;0,608
1200000;25;10,0;4;59,6406;38,6192;1,5443;0,3861
1200000;25;10,0;8;59,998;32,9462;1,8211;0,2276
1200000;25;10,0;16;60,0621;30,8326;1,948;0,1218
1200000;25;10,0;32;60,1503;30,6371;1,9633;0,0614
